tls_version,cipher_suites,extension_types,compression_methods,ec_point_formats,supported_groups,signature_algorithms,library_version
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.3_(x86_64-pc-linux-gnu)_libcurl/7.65.3_wolfSSL/3.14.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.31.0_(x86_64-unknown-linux-gnu)_libcurl/7.31.0_CyaSSL/2.2.2
771,49196+49195+49200+49199+159+158+157+156+49198+49197+49202+49201+52244+52243+52245+49191+49187+49193+49189+49192+49188+49194+49190+49162+49157+49161+49156+49160+49155+49172+49167+49171+49166+49170+49165+107+103+57+51+61+60+53+47+10,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.60.0_(x86_64-pc-linux-gnu)_libcurl/7.60.0_wolfSSL/3.4.8
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.36.0_(x86_64-unknown-linux-gnu)_libcurl/7.36.0_CyaSSL/2.9.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.0_(x86_64-pc-linux-gnu)_libcurl/7.61.0_wolfSSL/3.14.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.15.7
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.27.0_(x86_64-unknown-linux-gnu)_libcurl/7.27.0_CyaSSL/2.8.6
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.27.0_(x86_64-unknown-linux-gnu)_libcurl/7.27.0_CyaSSL/2.0.2
771,49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.7.1
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.27.0_(x86_64-unknown-linux-gnu)_libcurl/7.27.0_CyaSSL/2.9.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.15.6
771,49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.7.3
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.27.0_(x86_64-unknown-linux-gnu)_libcurl/7.27.0_CyaSSL/2.9.1
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.3_(x86_64-pc-linux-gnu)_libcurl/7.65.3_wolfSSL/3.14.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.31.0_(x86_64-unknown-linux-gnu)_libcurl/7.31.0_CyaSSL/2.6.0
771,49196+49195+49200+49199+159+158+157+156+49198+49197+49202+49201+52244+52243+52245+49191+49187+49193+49189+49192+49188+49194+49190+49162+49157+49161+49156+49160+49155+49172+49167+49171+49166+49170+49165+107+103+57+51+61+60+53+47+10,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.60.0_(x86_64-pc-linux-gnu)_libcurl/7.60.0_wolfSSL/3.6.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.36.0_(x86_64-unknown-linux-gnu)_libcurl/7.36.0_CyaSSL/2.8.6
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0301, 0x0201",curl_7.62.0_(x86_64-pc-linux-gnu)_libcurl/7.62.0_wolfSSL/4.1.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.14.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.31.0_(x86_64-unknown-linux-gnu)_libcurl/7.31.0_CyaSSL/2.0.2
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.30.0_(x86_64-unknown-linux-gnu)_libcurl/7.30.0_CyaSSL/2.2.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.25.0_(x86_64-unknown-linux-gnu)_libcurl/7.25.0_CyaSSL/2.7.2
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.33.0_(x86_64-unknown-linux-gnu)_libcurl/7.33.0_CyaSSL/2.0.0rc3
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.66.0_(x86_64-pc-linux-gnu)_libcurl/7.66.0_wolfSSL/3.14.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,10+13+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.0_(x86_64-pc-linux-gnu)_libcurl/7.61.0_wolfSSL/3.9.10
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.67.0_(x86_64-pc-linux-gnu)_libcurl/7.67.0_wolfSSL/3.14.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.35.0_(x86_64-unknown-linux-gnu)_libcurl/7.35.0_CyaSSL/2.8.4
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.30.0_(x86_64-unknown-linux-gnu)_libcurl/7.30.0_CyaSSL/2.2.1
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+22+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0301, 0x0201",curl_7.62.0_(x86_64-pc-linux-gnu)_libcurl/7.62.0_wolfSSL/4.4.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51+52244+52243+52245,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.63.0_(x86_64-pc-linux-gnu)_libcurl/7.63.0_wolfSSL/3.9.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.25.0_(x86_64-unknown-linux-gnu)_libcurl/7.25.0_CyaSSL/3.2.2
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.66.0_(x86_64-pc-linux-gnu)_libcurl/7.66.0_wolfSSL/3.15.7
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.33.0_(x86_64-unknown-linux-gnu)_libcurl/7.33.0_CyaSSL/2.0.2
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.35.0_(x86_64-unknown-linux-gnu)_libcurl/7.35.0_CyaSSL/2.1.4
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.68.0_(x86_64-pc-linux-gnu)_libcurl/7.68.0_wolfSSL/3.15.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+22+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0301, 0x0201",curl_7.61.0_(x86_64-pc-linux-gnu)_libcurl/7.61.0_wolfSSL/4.2.0
771,49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.1_(x86_64-pc-linux-gnu)_libcurl/7.64.1_wolfSSL/3.8.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.28.0_(x86_64-unknown-linux-gnu)_libcurl/7.28.0_CyaSSL/3.0.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.26.0_(x86_64-unknown-linux-gnu)_libcurl/7.26.0_CyaSSL/2.8.4
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+22+107+103+57+51+52244+52243+52245,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.0_(x86_64-pc-linux-gnu)_libcurl/7.64.0_wolfSSL/3.9.1
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.60.0_(x86_64-pc-linux-gnu)_libcurl/7.60.0_wolfSSL/3.14.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.31.0_(x86_64-unknown-linux-gnu)_libcurl/7.31.0_CyaSSL/2.8.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.2_(x86_64-pc-linux-gnu)_libcurl/7.65.2_wolfSSL/3.14.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+10+23,0,missing,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.68.0_(x86_64-pc-linux-gnu)_libcurl/7.68.0_wolfSSL/3.12.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.37.0_(x86_64-unknown-linux-gnu)_libcurl/7.37.0_CyaSSL/2.1.4
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.28.0_(x86_64-unknown-linux-gnu)_libcurl/7.28.0_CyaSSL/3.2.6
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51+22+52244+52243+52245,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.1_(x86_64-pc-linux-gnu)_libcurl/7.65.1_wolfSSL/3.9.8
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,10+13+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.62.0_(x86_64-pc-linux-gnu)_libcurl/7.62.0_wolfSSL/3.10.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+10+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.63.0_(x86_64-pc-linux-gnu)_libcurl/7.63.0_wolfSSL/3.14.0
771,49196+49195+49200+49199+159+158+157+156+49198+49197+49202+49201+52244+52243+52245+49191+49187+49193+49189+49192+49188+49194+49190+49162+49157+49161+49156+49160+49155+49172+49167+49171+49166+49170+49165+107+103+57+51+61+60+53+47+10,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.64.1_(x86_64-pc-linux-gnu)_libcurl/7.64.1_wolfSSL/3.4.8
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.2_(x86_64-pc-linux-gnu)_libcurl/7.65.2_wolfSSL/3.14.0
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.34.0_(x86_64-unknown-linux-gnu)_libcurl/7.34.0_CyaSSL/2.7.2
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.1_(x86_64-pc-linux-gnu)_libcurl/7.61.1_wolfSSL/3.15.7
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.1_(x86_64-pc-linux-gnu)_libcurl/7.61.1_wolfSSL/4.0.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,10+13+23,0,missing,"secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.65.0_(x86_64-pc-linux-gnu)_libcurl/7.65.0_wolfSSL/3.11.0
771,61+60+53+47+5+4+10+253,missing,0,missing,missing,missing,curl_7.28.0_(x86_64-unknown-linux-gnu)_libcurl/7.28.0_CyaSSL/2.0.6
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.37.1_(x86_64-unknown-linux-gnu)_libcurl/7.37.1_CyaSSL/2.8.4
771,4865+4866+4867+49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,51+43+13+11+10+22+23,0,uncompressed,"secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1, ffdhe2048","0x0603, 0x0503, 0x0403, 0x0203, 0x0806, 0x080b, 0x0805, 0x080a, 0x0804, 0x0809, 0x0601, 0x0501, 0x0401, 0x0301, 0x0201",curl_7.64.1_(x86_64-pc-linux-gnu)_libcurl/7.64.1_wolfSSL/4.5.0
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,10+13+23,0,missing,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.63.0_(x86_64-pc-linux-gnu)_libcurl/7.63.0_wolfSSL/3.11.1
771,61+60+53+47+5+4+10,13,0,missing,missing,"0x0401, 0x0201",curl_7.37.0_(x86_64-unknown-linux-gnu)_libcurl/7.37.0_CyaSSL/3.2.6
771,49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,13+11+22+10+23,0,uncompressed,"secp256r1, secp521r1, secp384r1","0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0301, 0x0201",curl_7.60.0_(x86_64-pc-linux-gnu)_libcurl/7.60.0_wolfSSL/4.2.0
771,49196+49195+49200+49199+159+158+157+156+49198+49197+49202+49201+52244+52243+52245+49191+49187+49193+49189+49192+49188+49194+49190+49162+49157+49161+49156+49160+49155+49172+49167+49171+49166+49170+49165+107+103+57+51+61+60+53+47+10,13,0,missing,missing,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",curl_7.61.0_(x86_64-pc-linux-gnu)_libcurl/7.61.0_wolfSSL/3.6.0
